Altium Designer Pick and Place Locations
X:\ENGENHARIA DE PRODUTO\PROJETOS\LAYOUT\PCI MODULO DE ADAPTACAO VW1101M-8 CC1190 915MHZ\10384 R1.0 - ALAN\.\10384 R1.0 - Gerber\Pick Place\Pick Place for 10384 R1.0 - PAINEL.txt

========================================================================================================================
File Design Information:

Date:       29/01/26
Time:       09:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment          Layer    Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                   
C14        12pF             TopLayer 0603_C_-_REFLOW                   19.7944      46.5331      0        "Capacitor Cerâmico SMD 0603" 
C15        12pF             TopLayer 0603_C_-_REFLOW                   21.1898      44.7977      180      "Capacitor Cerâmico SMD 0603" 
C13        0.8pF            TopLayer 0603_C_-_REFLOW                   26.5611      38.1400      90       "Capacitor Cerâmico SMD 0603" 
R1         10k              TopLayer 0603_R_-_Reflow                   42.7236      36.9957      0        "Resistor SMD 0603"           
U1         VW1101M          TopLayer VW1101M                           45.7128      15.5448      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   49.9750      30.5857      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        46.9061      34.6734      90       ""                            
Z2         0R               TopLayer 0603_RF                           45.9403      3.0699       270      0603                          
Z1         0R               TopLayer 0603_RF                           47.5896      3.0502       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   51.6261      42.9386      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   51.6261      44.4197      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     51.3821      45.9308      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     49.9492      35.3143      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     52.3761      38.7151      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   50.7426      32.8335      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   54.6871      45.9724      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   54.6871      44.4889      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   54.6871      42.9856      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   54.6691      37.6487      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   54.6581      39.6901      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   51.4739      35.3646      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 54.7481      31.5584      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      55.2491      10.7977      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   42.7212      39.9873      0        "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   42.7062      38.5062      0        "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         47.0534      42.8175      270      ""                            
Z4         ""               TopLayer 0603_RF                           46.1363      27.5896      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     39.4299      34.0232      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              39.4359      29.4740      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           46.9181      29.8171      90       0603                          
Z5         ""               TopLayer 0603_RF                           47.7132      32.0576      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   51.5695      41.3336      0        "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    57.6669      0.0071       90       ""                            
P2         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    43.8051      0.0071       90       ""                            
P1         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    43.8050      29.9510      90       ""                            
L5         3nH              TopLayer 0603_L_-_WAVE                     39.4299      39.0578      270      "Indutor SMD 0603"            
L6         7.5nH            TopLayer 0603_L_-_WAVE                     39.4371      45.5344      270      "Indutor SMD 0603"            
L7         10nH             TopLayer 0603_L_-_WAVE                     46.9466      38.3134      270      "Indutor SMD 0603"            
C10        0.5pF            TopLayer 0603_C_-_REFLOW                   40.2115      31.5240      180      "Capacitor Cerâmico SMD 0603" 
C11        7.5pF            TopLayer 0603_C_-_REFLOW                   38.6387      36.5523      0        "Capacitor Cerâmico SMD 0603" 
C12        3.3pF            TopLayer 0603_C_-_REFLOW                   38.6387      41.5629      0        "Capacitor Cerâmico SMD 0603" 
C9         47pF             TopLayer 0603_C_-_REFLOW                   40.2053      43.0674      180      "Capacitor Cerâmico SMD 0603" 
C14        12pF             TopLayer 0603_C_-_REFLOW                   41.6944      46.5331      0        "Capacitor Cerâmico SMD 0603" 
C15        12pF             TopLayer 0603_C_-_REFLOW                   43.0898      44.7977      180      "Capacitor Cerâmico SMD 0603" 
C13        0.8pF            TopLayer 0603_C_-_REFLOW                   48.4611      38.1400      90       "Capacitor Cerâmico SMD 0603" 
R1         10k              TopLayer 0603_R_-_Reflow                   64.6236      36.9957      0        "Resistor SMD 0603"           
U1         VW1101M          TopLayer VW1101M                           67.6128      15.5448      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   71.8750      30.5857      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        68.8061      34.6734      90       ""                            
Z2         0R               TopLayer 0603_RF                           67.8403      3.0699       270      0603                          
Z1         0R               TopLayer 0603_RF                           69.4896      3.0502       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   73.5261      42.9386      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   73.5261      44.4197      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     73.2821      45.9308      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     71.8492      35.3143      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     74.2761      38.7151      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   72.6426      32.8335      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   76.5871      45.9724      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   76.5871      44.4889      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   76.5871      42.9856      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   76.5691      37.6487      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   76.5581      39.6901      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   73.3739      35.3646      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 76.6481      31.5584      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      77.1491      10.7977      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   64.6212      39.9873      0        "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   64.6062      38.5062      0        "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         68.9534      42.8175      270      ""                            
Z4         ""               TopLayer 0603_RF                           68.0363      27.5896      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     61.3299      34.0232      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              61.3359      29.4740      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           68.8181      29.8171      90       0603                          
Z5         ""               TopLayer 0603_RF                           69.6132      32.0576      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   73.4695      41.3336      0        "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    79.5669      0.0071       90       ""                            
P2         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    65.7051      0.0071       90       ""                            
P1         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    65.7050      29.9510      90       ""                            
L5         3nH              TopLayer 0603_L_-_WAVE                     61.3299      39.0578      270      "Indutor SMD 0603"            
L6         7.5nH            TopLayer 0603_L_-_WAVE                     61.3371      45.5344      270      "Indutor SMD 0603"            
L7         10nH             TopLayer 0603_L_-_WAVE                     68.8466      38.3134      270      "Indutor SMD 0603"            
C10        0.5pF            TopLayer 0603_C_-_REFLOW                   62.1115      31.5240      180      "Capacitor Cerâmico SMD 0603" 
C11        7.5pF            TopLayer 0603_C_-_REFLOW                   60.5387      36.5523      0        "Capacitor Cerâmico SMD 0603" 
C12        3.3pF            TopLayer 0603_C_-_REFLOW                   60.5387      41.5629      0        "Capacitor Cerâmico SMD 0603" 
C9         47pF             TopLayer 0603_C_-_REFLOW                   62.1053      43.0674      180      "Capacitor Cerâmico SMD 0603" 
C14        12pF             TopLayer 0603_C_-_REFLOW                   63.5944      46.5331      0        "Capacitor Cerâmico SMD 0603" 
C15        12pF             TopLayer 0603_C_-_REFLOW                   64.9898      44.7977      180      "Capacitor Cerâmico SMD 0603" 
C13        0.8pF            TopLayer 0603_C_-_REFLOW                   70.3611      38.1400      90       "Capacitor Cerâmico SMD 0603" 
R1         10k              TopLayer 0603_R_-_Reflow                   86.5236      36.9957      0        "Resistor SMD 0603"           
U1         VW1101M          TopLayer VW1101M                           89.5128      15.5448      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   93.7750      30.5857      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        90.7061      34.6734      90       ""                            
Z2         0R               TopLayer 0603_RF                           89.7403      3.0699       270      0603                          
Z1         0R               TopLayer 0603_RF                           91.3896      3.0502       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   95.4261      42.9386      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   95.4261      44.4197      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     95.1821      45.9308      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     93.7492      35.3143      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     96.1761      38.7151      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   94.5426      32.8335      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   98.4871      45.9724      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   98.4871      44.4889      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   98.4871      42.9856      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   98.4691      37.6487      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   98.4581      39.6901      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   95.2739      35.3646      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 98.5481      31.5584      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      99.0491      10.7977      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   86.5212      39.9873      0        "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   86.5062      38.5062      0        "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         90.8534      42.8175      270      ""                            
Z4         ""               TopLayer 0603_RF                           89.9363      27.5896      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     83.2299      34.0232      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              83.2359      29.4740      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           90.7181      29.8171      90       0603                          
Z5         ""               TopLayer 0603_RF                           91.5132      32.0576      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   95.3695      41.3336      0        "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    101.4669     0.0071       90       ""                            
P2         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    87.6051      0.0071       90       ""                            
P1         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    87.6050      29.9510      90       ""                            
L5         3nH              TopLayer 0603_L_-_WAVE                     83.2299      39.0578      270      "Indutor SMD 0603"            
L6         7.5nH            TopLayer 0603_L_-_WAVE                     83.2371      45.5344      270      "Indutor SMD 0603"            
L7         10nH             TopLayer 0603_L_-_WAVE                     90.7466      38.3134      270      "Indutor SMD 0603"            
C10        0.5pF            TopLayer 0603_C_-_REFLOW                   84.0115      31.5240      180      "Capacitor Cerâmico SMD 0603" 
C11        7.5pF            TopLayer 0603_C_-_REFLOW                   82.4387      36.5523      0        "Capacitor Cerâmico SMD 0603" 
C12        3.3pF            TopLayer 0603_C_-_REFLOW                   82.4387      41.5629      0        "Capacitor Cerâmico SMD 0603" 
C9         47pF             TopLayer 0603_C_-_REFLOW                   84.0053      43.0674      180      "Capacitor Cerâmico SMD 0603" 
C14        12pF             TopLayer 0603_C_-_REFLOW                   85.4944      46.5331      0        "Capacitor Cerâmico SMD 0603" 
C15        12pF             TopLayer 0603_C_-_REFLOW                   86.8898      44.7977      180      "Capacitor Cerâmico SMD 0603" 
C13        0.8pF            TopLayer 0603_C_-_REFLOW                   92.2611      38.1400      90       "Capacitor Cerâmico SMD 0603" 
R1         10k              TopLayer 0603_R_-_Reflow                   108.4236     36.9957      0        "Resistor SMD 0603"           
U1         VW1101M          TopLayer VW1101M                           111.4128     15.5448      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   115.6750     30.5857      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        112.6061     34.6734      90       ""                            
Z2         0R               TopLayer 0603_RF                           111.6403     3.0699       270      0603                          
Z1         0R               TopLayer 0603_RF                           113.2896     3.0502       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   117.3261     42.9386      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   117.3261     44.4197      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     117.0821     45.9308      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     115.6492     35.3143      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     118.0761     38.7151      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   116.4426     32.8335      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   120.3871     45.9724      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   120.3871     44.4889      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   120.3871     42.9856      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   120.3691     37.6487      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   120.3581     39.6901      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   117.1739     35.3646      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 120.4481     31.5584      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      120.9491     10.7977      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   108.4212     39.9873      0        "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   108.4062     38.5062      0        "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         112.7534     42.8175      270      ""                            
Z4         ""               TopLayer 0603_RF                           111.8363     27.5896      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     105.1299     34.0232      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              105.1359     29.4740      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           112.6181     29.8171      90       0603                          
Z5         ""               TopLayer 0603_RF                           113.4132     32.0576      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   117.2695     41.3336      0        "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    123.3669     0.0071       90       ""                            
P2         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    109.5051     0.0071       90       ""                            
P1         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    109.5050     29.9510      90       ""                            
L5         3nH              TopLayer 0603_L_-_WAVE                     105.1299     39.0578      270      "Indutor SMD 0603"            
L6         7.5nH            TopLayer 0603_L_-_WAVE                     105.1371     45.5344      270      "Indutor SMD 0603"            
L7         10nH             TopLayer 0603_L_-_WAVE                     112.6466     38.3134      270      "Indutor SMD 0603"            
C10        0.5pF            TopLayer 0603_C_-_REFLOW                   105.9115     31.5240      180      "Capacitor Cerâmico SMD 0603" 
C11        7.5pF            TopLayer 0603_C_-_REFLOW                   104.3387     36.5523      0        "Capacitor Cerâmico SMD 0603" 
C12        3.3pF            TopLayer 0603_C_-_REFLOW                   104.3387     41.5629      0        "Capacitor Cerâmico SMD 0603" 
C9         47pF             TopLayer 0603_C_-_REFLOW                   105.9053     43.0674      180      "Capacitor Cerâmico SMD 0603" 
C14        12pF             TopLayer 0603_C_-_REFLOW                   107.3944     46.5331      0        "Capacitor Cerâmico SMD 0603" 
